PT	AU	BA	CA	GP	RI	OI	BE	Z2	TI	X1	Y1	Z1	FT	PN	AE	Z3	SO	S1	SE	BS	VL	IS	SI	MA	BP	EP	AR	DI	D2	SU	PD	PY	AB	X4	Y4	Z4	AK	CT	CY	SP	CL	TC	Z8	ZB	ZS	Z9	SN	BN	UT	PM
J	Lee, Changgu; Wei, Xiaoding; Kysar, Jeffrey W.; Hone, James								Measurement of the elastic properties and intrinsic strength of monolayer graphene								SCIENCE				321	5887			385	388		10.1126/science.1157996			JUL 18 2008	2008										10772							WOS:000257713900044		
J	Zhang, YB; Tan, YW; Stormer, HL; Kim, P								Experimental observation of the quantum Hall effect and Berry's phase in graphene								NATURE				438	7065			201	204		10.1038/nature04235			NOV 10 2005	2005										9334							WOS:000233133500043		
J	Stankovich, Sasha; Dikin, Dmitriy A.; Dommett, Geoffrey H. B.; Kohlhaas, Kevin M.; Zimney, Eric J.; Stach, Eric A.; Piner, Richard D.; Nguyen, SonBinh T.; Ruoff, Rodney S.								Graphene-based composite materials								NATURE				442	7100			282	286		10.1038/nature04969			JUL 20 2006	2006										8719							WOS:000239122100034		
J	Hasan, M. Z.; Kane, C. L.								Colloquium: Topological insulators								REVIEWS OF MODERN PHYSICS				82	4			3045	3067		10.1103/RevModPhys.82.3045			NOV 8 2010	2010										8570							WOS:000283929800001		
J	Geim, A. K.								Graphene: Status and Prospects								SCIENCE				324	5934			1530	1534		10.1126/science.1158877			JUN 19 2009	2009										8176							WOS:000267130600034		
J	Radisavljevic, B.; Radenovic, A.; Brivio, J.; Giacometti, V.; Kis, A.								Single-layer MoS2 transistors								NATURE NANOTECHNOLOGY				6	3			147	150		10.1038/NNANO.2010.279			MAR 2011	2011										7394							WOS:000288003900006		
J	Balandin, Alexander A.; Ghosh, Suchismita; Bao, Wenzhong; Calizo, Irene; Teweldebrhan, Desalegne; Miao, Feng; Lau, Chun Ning								Superior thermal conductivity of single-layer graphene								NANO LETTERS				8	3			902	907		10.1021/nl0731872			MAR 2008	2008										7253							WOS:000253947400025		
J	Li, Xuesong; Cai, Weiwei; An, Jinho; Kim, Seyoung; Nah, Junghyo; Yang, Dongxing; Piner, Richard; Velamakanni, Aruna; Jung, Inhwa; Tutuc, Emanuel; Banerjee, Sanjay K.; Colombo, Luigi; Ruoff, Rodney S.								Large-Area Synthesis of High-Quality and Uniform Graphene Films on Copper Foils								SCIENCE				324	5932			1312	1314		10.1126/science.1171245			JUN 5 2009	2009										7175							WOS:000266635100041		
J	Kim, Keun Soo; Zhao, Yue; Jang, Houk; Lee, Sang Yoon; Kim, Jong Min; Kim, Kwang S.; Ahn, Jong-Hyun; Kim, Philip; Choi, Jae-Young; Hong, Byung Hee								Large-scale pattern growth of graphene films for stretchable transparent electrodes								NATURE				457	7230			706	710		10.1038/nature07719			FEB 5 2009	2009										7055							WOS:000263064700037		
J	Wang, Qing Hua; Kalantar-Zadeh, Kourosh; Kis, Andras; Coleman, Jonathan N.; Strano, Michael S.								Electronics and optoelectronics of two-dimensional transition metal dichalcogenides								NATURE NANOTECHNOLOGY				7	11			699	712		10.1038/NNANO.2012.193			NOV 2012	2012										6922							WOS:000310791900008		
J	Dreyer, Daniel R.; Park, Sungjin; Bielawski, Christopher W.; Ruoff, Rodney S.								The chemistry of graphene oxide								CHEMICAL SOCIETY REVIEWS				39	1			228	240		10.1039/b917103g			2010	2010										6567							WOS:000272711300019		
J	Li, Dan; Mueller, Marc B.; Gilje, Scott; Kaner, Richard B.; Wallace, Gordon G.								Processable aqueous dispersions of graphene nanosheets								NATURE NANOTECHNOLOGY				3	2			101	105		10.1038/nnano.2007.451			FEB 2008	2008										6488							WOS:000253634500015		
J	Qi, Xiao-Liang; Zhang, Shou-Cheng								Topological insulators and superconductors								REVIEWS OF MODERN PHYSICS				83	4						10.1103/RevModPhys.83.1057			OCT 14 2011	2011										6058							WOS:000308825700001		
J	Burda, C; Chen, XB; Narayanan, R; El-Sayed, MA								Chemistry and properties of nanocrystals of different shapes								CHEMICAL REVIEWS				105	4			1025	1102		10.1021/cr030063a			APR 2005	2005										5619							WOS:000228412800002		
J	Marcano, Daniela C.; Kosynkin, Dmitry V.; Berlin, Jacob M.; Sinitskii, Alexander; Sun, Zhengzong; Slesarev, Alexander; Alemany, Lawrence B.; Lu, Wei; Tour, James M.								Improved Synthesis of Graphene Oxide								ACS NANO				4	8			4806	4814		10.1021/nn1006368			AUG 2010	2010										5475							WOS:000281052700057		
J	Zhu, Yanwu; Murali, Shanthi; Cai, Weiwei; Li, Xuesong; Suk, Ji Won; Potts, Jeffrey R.; Ruoff, Rodney S.								Graphene and Graphene Oxide: Synthesis, Properties, and Applications								ADVANCED MATERIALS				22	35			3906	3924		10.1002/adma.201001068			SEP 15 2010	2010										5279							WOS:000282910100001		
J	Bae, Sukang; Kim, Hyeongkeun; Lee, Youngbin; Xu, Xiangfan; Park, Jae-Sung; Zheng, Yi; Balakrishnan, Jayakumar; Lei, Tian; Kim, Hye Ri; Song, Young Il; Kim, Young-Jin; Kim, Kwang S.; Ozyilmaz, Barbaros; Ahn, Jong-Hyun; Hong, Byung Hee; Iijima, Sumio								Roll-to-roll production of 30-inch graphene films for transparent electrodes								NATURE NANOTECHNOLOGY				5	8			574	578		10.1038/NNANO.2010.132			AUG 2010	2010										5127							WOS:000280631900009		
J	Mak, Kin Fai; Lee, Changgu; Hone, James; Shan, Jie; Heinz, Tony F.								Atomically Thin MoS2: A New Direct-Gap Semiconductor								PHYSICAL REVIEW LETTERS				105	13					136805	10.1103/PhysRevLett.105.136805			SEP 24 2010	2010										4808							WOS:000282136900010		
J	Park, Sungjin; Ruoff, Rodney S.								Chemical methods for the production of graphenes								NATURE NANOTECHNOLOGY				4	4			217	224		10.1038/NNANO.2009.58			APR 2009	2009										4601							WOS:000265457300010		
J	Bolotin, K. I.; Sikes, K. J.; Jiang, Z.; Klima, M.; Fudenberg, G.; Hone, J.; Kim, P.; Stormer, H. L.								Ultrahigh electron mobility in suspended graphene								SOLID STATE COMMUNICATIONS				146	9-10			351	355		10.1016/j.ssc.2008.02.024			JUN 2008	2008										4490							WOS:000256641500001		
J	Bonaccorso, F.; Sun, Z.; Hasan, T.; Ferrari, A. C.								Graphene photonics and optoelectronics								NATURE PHOTONICS				4	9			611	622		10.1038/NPHOTON.2010.186			SEP 2010	2010										4436							WOS:000281467900015		
J	Splendiani, Andrea; Sun, Liang; Zhang, Yuanbo; Li, Tianshu; Kim, Jonghwan; Chim, Chi-Yung; Galli, Giulia; Wang, Feng								Emerging Photoluminescence in Monolayer MoS2								NANO LETTERS				10	4			1271	1275		10.1021/nl903868w			APR 2010	2010										4335							WOS:000276557100031		
J	Berger, Claire; Song, Zhimin; Li, Xuebin; Wu, Xiaosong; Brown, Nate; Naud, Cecile; Mayou, Didier; Li, Tianbo; Hass, Joanna; Marchenkov, Atexei N.; Conrad, Edward H.; First, Phillip N.; de Heer, Wait A.								Electronic confinement and coherence in patterned epitaxial graphene								SCIENCE				312	5777			1191	1196		10.1126/science.1125925			MAY 26 2006	2006										4226							WOS:000237957400047		
J	Chhowalla, Manish; Shin, Hyeon Suk; Eda, Goki; Li, Lain-Jong; Loh, Kian Ping; Zhang, Hua								The chemistry of two-dimensional layered transition metal dichalcogenide nanosheets								NATURE CHEMISTRY				5	4			263	275		10.1038/NCHEM.1589			APR 2013	2013										4132							WOS:000317182900009		
